year,hhi,Malaysia,"Other Asia, nes",Rep. of Korea,China,Viet Nam,Thailand
2015,1785.3067304017727,36.90527181346546,12.870211302762266,6.750566444948963,6.945074792118418,8.585248528380642,2.687009449041679
2016,1845.742925223266,37.99411280160169,11.328284162087172,5.898304783003744,7.261041806556638,7.287086863864735,2.421521303998118
2017,1814.8672617353834,37.64995853200824,11.677508443191071,6.068428496615107,8.227218403202322,6.477236961109652,2.5210790127695346
2018,2233.542251685467,43.28516525160815,12.076773590198954,6.2347419909671995,9.18536038780599,3.960015583769155,2.748305277686181
2019,2512.39148852381,47.099620578200046,11.188269620222004,6.518187530545867,4.766049373543523,5.805247246005588,2.7147605759802143
2020,2552.0923964460535,47.2330970085988,11.56410101632736,6.17267292214594,5.648231174320671,7.908336322516378,2.7789782907648752
2021,2414.143631507759,45.488584554353636,13.062139064256147,6.124389329013274,5.720292937110035,6.570212196470478,3.231406832425327
2022,1617.2254446952466,32.45934930880829,18.521879008655446,7.112823726872495,5.981778097547479,5.313282854443699,4.664125269194513
2023,1369.601987001683,26.838589291769065,20.322429617554008,6.656420860598159,5.1179138470478485,4.75192725687405,5.096168116355995
