year,hhi,malaysia_share,other_asia_nes_share
2015,1785.3067304017727,0.3690527181346546,0.12870211302762266
2016,1845.742925223266,0.37994112801601687,0.11328284162087172
2017,1814.8672617353834,0.37649958532008243,0.11677508443191072
2018,2233.542251685467,0.4328516525160815,0.12076773590198954
2019,2512.39148852381,0.47099620578200047,0.11188269620222004
2020,2552.0923964460535,0.47233097008598796,0.11564101016327359
2021,2414.143631507759,0.4548858455435364,0.13062139064256148
2022,1617.2254446952466,0.32459349308808294,0.18521879008655448
2023,1369.601987001683,0.26838589291769066,0.20322429617554008
